_id,_rev,aout,avril,code_contrat,code_produit,dec,fev,janv,juillet,juin,mai,mars,nov,oct,sept,societe,typeContrat
1640000010,1-07215f036890fefa96895396e56acd89,175000,175000,1640000010,50,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1640000086,1-c49ee18a7a08e700a2907db9aaee82a5,175000,175000,1640000086,50,0,175000,175000,175000,175000,175000,175000,0,0,0,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1620000017,2-d4986666e7f07a8cab787c02c3aad14b,56661,56661,1620000017,50,56661,56661,56661,56661,56661,56661,56661,56661,56661,56661,BAT TMC ,Retraite complementaire BAT TMC 
1640000017,1-0834d7b8905c3f91cb88de6c3993698c,0,525000,1640000017,50,0,525000,525000,0,0,0,525000,0,0,0,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1640000111,1-91102b0ad9a035804fda303c694cb611,175000,175000,1640000111,50,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1620000019,2-c15b80ebe21e137cc728e9c38cb47b8a,56661,56661,1620000019,50,56661,0,0,56661,56661,56661,56661,56661,56661,56661,BAT TMC ,Retraite complementaire BAT TMC 
1640000167,1-3a4aa8297f2f4288e87b560107ee07b8,175000,175000,1640000167,50,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1640000012,1-01745173e44c63e9fd1221b187f8dcb8,175000,175000,1640000012,50,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1640000045,1-097dec9d08a6b23280a703f693efb989,175000,175000,1640000045,50,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1640000085,1-057e343a8cf8a5d0cff1591022d772ce,140000,140000,1640000085,50,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1640000130,1-905b0db7a855636d7114da3c39333e34,140000,140000,1640000130,50,140000,140000,140000,140000,140000,140000,140000,140000,140000,140000,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1640000184,1-b6adbfcb29050b9e0b8c383e7664d55d,0,140000,1640000184,50,0,140000,140000,0,0,0,140000,0,0,0,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
1640000046,1-77a561e26ebb959ff3e8fa3395e84cbc,175000,175000,1640000046,50,175000,175000,175000,175000,175000,175000,175000,175000,175000,175000,BRIDGE BANK ,Retraite complementaire  BRIDGE BANK 
